觀光遊憩區,縮名
八斗子濱海公園,八斗子公園
中正公園,中正公園
中正航空科學館,中正航館
仙洞公園,仙洞公園
台北二二八紀念館,二二八紀念館
台北市立兒童育樂中心文山園區,北市兒育中心文山園區
台北偶戲館,台北偶戲館
市立兒童交通博物館,北市兒童交博館
東河休閒農場,東河農場
航空科學館,航空科學館
高雄休閒農場,高雄農場
暖東峽谷,暖東峽谷
嘉義農場,嘉義農場
澎湖海洋資源館,澎湖海洋館
草悟道,草悟道
國父紀念館,國父紀念館
東豐自行車綠廊及后豐鐵馬道,東豐自行車道
國立故宮博物院,故宮博物院
國立中正紀念堂,中正紀念堂
旗津風景區,旗津
慈湖,慈湖
瑞芳風景特定區,瑞芳
淡水漁人碼頭,淡水漁人碼頭
市立動物園,北市動物園
國立自然科學博物館,科博館
台中公園,台中公園
十分旅遊服務中心,十分旅遊中心
大坑登山步道,大坑登山步道
新北市黃金博物園區,黃金博物園區
高雄市文化中心,高市文化中心
打狗英國領事館,打狗英國領事館
石門水庫風景區,石門水庫
世運主場館,世運主場館
國立科學工藝博物館,科學工藝館
澄清湖,澄清湖
清境農場,清境農場
碧潭風景特定區,碧潭
士林官邸公園,士林官邸
國立台灣科學教育館,台灣科教館
國立台灣美術館,台灣美術館
蓮池潭,蓮池潭
國立傳統藝術中心,傳統藝術中心
烏來風景特定區,烏來
梧棲觀光漁港,梧棲觀光漁港
國民革命忠烈祠,北市忠烈祠
高雄市立美術館,高市立美術館
台北自來水園區,自來水園區
新北市客家文化園區,新北市客家園區
國立海洋生物博物館,國立海生館
新北市立鶯歌陶瓷博物館,鶯歌陶瓷博物館
猴硐煤礦博物園區,猴硐煤博區
市立美術館,市立美術館
蘭陽博物館,蘭陽博物館
市立天文科學教育館,北市天文館
后里馬場,后里馬場
壽山動物園,壽山動物園
水湳洞遊客中心,水湳洞
新北市立十三行博物館,十三行博物館
台北市立兒童育樂中心圓山園區,北市兒育樂中心圓山園區
尖山埤江南渡假村,江南渡假村
武陵農場,武陵農場
國立台灣歷史博物館,台灣史博館
台中都會公園,台中都會公園
國立台灣藝術教育館,台灣藝教館
角板山行館,角板山行館
莒光樓,莒光樓
台北探索館,台北探索館
高雄市立歷史博物館,高市立史博館
福壽山農場,福壽山農場
慶修院,慶修院
國立歷史博物館,國立史博館
嘉義市立博物館,嘉義博物館
情人湖公園,情人湖公園
凱達格蘭文化館,凱達格蘭館
曾文水庫,曾文水庫
卑南文化公園,卑南文化公園
烏山頭水庫風景區,烏山頭水庫
美濃客家文物館,美濃客家館
國立台灣史前文化博物館,史前博物館
竹山天梯風景區,竹山天梯
鳳凰谷鳥園,鳳凰谷鳥園
木雕博物館,木雕博物館
花蓮縣石雕博物館,花蓮石雕館
烏樹林休閒園區,烏樹林園區
台灣省特有生物研究保育中心,特生中心
台灣鹽博物館,台灣鹽博物館
武荖坑風景區,武荖坑
國立台東海洋生物展覽館,台東海生館
蘇澳冷泉,蘇澳冷泉
澎湖開拓館,澎湖開拓館
七美人塚,七美人塚
坪林茶業博物館,坪林茶博館
四草砲台(鎮海城),四草砲台
安平樹屋,安平樹屋
林安泰古厝民俗文物館,林安泰古厝
億載金城,億載金城
龍山寺,龍山寺
安平小鎮,安平小鎮
淡水紅毛城,淡水紅毛城
赤嵌樓,赤嵌樓
大天后宮,大天后宮
祀典武廟,祀典武廟
鹿港龍山寺,鹿港龍山寺
北投溫泉博物館,北投溫博館
林本源園邸(林家花園),板橋林家花園
台北市孔廟,台北市孔廟
前清淡水關稅務司官邸,前清淡水關稅務司官邸
台南孔子廟,台南孔子廟
延平郡王祠,延平郡王祠
北埔遊憩區,北埔遊憩區
滬尾砲台,滬尾砲台
台北故事館,台北故事館
彰化孔子廟,彰化孔子廟
五妃廟,五妃廟
三峽鎮歷史文物館,三峽歷史館
大世界國際村,大世界國際村
中華民俗村,中華民俗村
中影文化城,中影文化城
火炎山溫泉遊樂區,火炎山遊樂區
台北海洋館,台北海洋館
台灣民俗村,台灣民俗村
布魯樂谷主題親水樂園,布魯樂谷樂園
成豐夢幻世界,成豐夢幻世界
亞哥花園,亞哥花園
東山樂園,東山樂園
東方夏威夷遊樂園,夏威夷遊樂園
金鳥海族遊樂園,金鳥遊樂園
海洋世界,海洋世界
新光摩天展望台,新光摩天展望台
新竹楓育樂中心,楓育樂中心
當代藝術館,當代藝術館
龍珠灣渡假中心,龍珠灣
藝都表演村,藝都表演村
台北101景觀台,台北101景觀台
劍湖山世界,劍湖山世界
六福村主題遊樂園,六福村遊樂園
九族文化村,九族文化村
走馬瀨農場,走馬瀨農場
小人國主題樂園,小人國樂園
花蓮海洋公園,花蓮海洋公園
美麗華摩天輪,美麗華摩天輪
西湖渡假村,西湖渡假村
麗寶樂園,麗寶樂園
杉林溪森林遊樂區,杉林溪
綠世界生態休閒農場,綠世界
飛牛牧場,飛牛牧場
三峽鎮大板根森林溫泉渡假村,三峽大板根
和平島濱海公園,和平島
台北當代藝術館,台北當代藝術館
泰雅渡假村,泰雅渡假村
香格里拉樂園,香格里拉樂園
原生應用植物園,原生植物園
東勢林場遊樂區,東勢林場
小墾丁渡假村,小墾丁渡假村
8大森林博覽樂園,8大森林
雲仙樂園,雲仙樂園
野柳海洋世界,野柳
八仙海岸,八仙海岸
小叮噹科學遊樂園,小叮噹遊樂園
民俗文化村,民俗文化村
關渡自然公園,關渡自然公園
頑皮世界,頑皮世界
南園清心園林休閒農場,南園清心園
布農部落,布農部落
朱銘美術館,朱銘美術館
萬瑞森林樂園,萬瑞森林樂園
味全埔心牧場,味全埔心牧場
大路觀主題樂園,大路觀主題園
陽明高雄海洋探索館,陽明海洋館
陽明海洋文化藝術館,陽明海洋館
十分瀑布,十分瀑布
新港奉天宮,新港奉天宮
南鯤鯓代天府,南鯤鯓代天府
佛光山,佛光山
中台禪寺,中台禪寺
麻豆代天府,麻豆代天府
北港朝天宮,北港朝天宮
大甲鎮瀾宮,大甲鎮瀾宮
法鼓山世界佛教教育園,法鼓山佛教園
萬和宮,萬和宮
清水祖師廟,清水祖師廟
高字塔藝術文化園區,高字塔藝術區
鹿港民俗文物館,鹿港民俗館
順益台灣原住民博物館,順益原博館
褒忠馬鳴山鎮安宮五年千歲公園,鎮安宮五年千歲
駁二藝術特區,駁二藝術特區
淡水金色水岸,淡水金色水岸
三峽老街,三峽老街
八里左岸公園,八里左岸公園
台灣玻璃館,台灣玻璃館
客家大院,客家大院
大湖草莓文化館,大湖草莓館
鶯歌老街,鶯歌老街
田尾公路花園,田尾公路花園
愛河,愛河
溪州公園,溪州公園
草嶺,草嶺
金針山休閒農業區,金針山農業區
蘭嶼,蘭嶼
台塑六輕阿媽公園,六輕阿媽公園
基隆嶼,基隆嶼
三條崙海水浴場,三條崙海水浴場
大安海水浴場,大安海水浴場
杉原海水浴場,杉原海水浴場
崎頂海水浴場,崎頂海水浴場
通霄海水浴場,通霄海水浴場
新金山海水浴場,新金山海水浴場
旗津海水浴場,旗津海水浴場
磯崎海水浴場,磯崎海水浴場
墾丁海水浴場,墾丁海水浴場
翡翠灣濱海遊樂區,翡翠灣
頭城海水浴場,頭城海水浴場
福隆蔚藍海岸,福隆海岸
馬沙溝濱海遊憩區,馬沙溝濱海區
台九線沿線景觀區,台九線沿線
台八線沿線景觀區,台八線沿線
太魯閣國家公園遊客中心,太魯閣遊客中心
布洛灣遊憩區,布洛灣
塔塔加遊憩區,塔塔加遊憩區
南安遊客中心,南安遊客中心
管理處遊客服務中心,玉山遊客中心
排雲山莊,排雲山莊
梅山遊客中心,梅山遊客中心
翟山坑道,翟山坑道
金水學校,金水學校
蔣經國先生紀念館,蔣經國紀念館
古寧頭戰史館,古寧頭戰史館
雙鯉溼地自然中心,雙鯉溼地
八二三砲戰紀念館,八二三紀念館
中山林遊客中心,中山林
湖井頭戰史館,湖井頭戰史館
九宮(四維)坑道,九宮(四維)坑道
九九山莊,九九山莊
武陵國家森林遊樂區,武陵遊樂區
汶水遊客中心,汶水遊客中心
武陵遊客中心,武陵遊客中心
雪見遊憩區,雪見遊憩區
觀霧遊客中心,觀霧遊客中心
陽明公園,陽明公園
小油坑遊憩區,小油坑
龍鳳谷遊憩區,龍鳳谷遊憩區
大屯遊憩區,大屯遊憩區
遊客中心,遊客中心
陽明書屋,陽明書屋
童軍露營場,童軍露營場
瓊麻歷史工業展示館,瓊麻展示館
貓鼻頭公園,貓鼻頭公園
鵝鑾鼻公園,鵝鑾鼻公園
社頂自然公園,社頂公園
南灣遊憩區,南灣遊憩區
佳樂水,佳樂水
砂島貝殼砂展示館,砂島展示館
墾丁國家公園管理處遊客中心,墾丁遊客中心
龍鑾潭自然中心,龍鑾潭
大鵬灣遊客中心,大鵬灣
青洲濱海遊憩區,青洲遊憩區
大鵬營區,大鵬營區
琉球風景區,琉球
日月潭風景區,日月潭風景區
車埕,車埕
水里蛇窯,水里蛇窯
石門洞,石門洞
野柳風景區,野柳
觀音山,觀音山
白沙灣,白沙灣
金山遊客中心,金山遊客中心
三芝遊客中心,三芝遊客中心
金山溫泉館,金山溫泉館
嘉義農場生態渡假玩國,嘉義農場
南元休閒農場,南元農場
石城服務區,石城服務區
桃源谷步道系統,桃源谷步道
福隆遊客服務中心,福隆遊客中心
草嶺古道系統(含遠望坑親水公園),草嶺古道
大里遊客服務中心,大里遊客中心
南方澳遊客中心,南方澳
北關海潮公園,北關海潮公園
外澳濱海遊憩區,外澳
舊草嶺隧道,舊草嶺隧道
鼻頭港服務區,鼻頭港
鼻頭角步道,鼻頭角步道
龍門露營區,龍門露營區
龍洞灣公園,龍洞灣公園
龍洞南口海洋公園,龍洞南口公園
龜山島海域遊憩區,龜山島
鹽寮海濱公園,鹽寮公園
石梯坪,石梯坪
三仙台,三仙台
小野柳(加路蘭),小野柳
秀姑巒溪泛舟,秀姑巒溪泛舟
都歷處本部,都歷處本部
綠島,綠島
八仙洞,八仙洞
花蓮管理站遊客中心,花蓮遊客中心
鯉魚潭風景特定區,花蓮鯉魚潭
鹿野高台,鹿野高台
花蓮觀光糖廠,花蓮觀光糖廠
立川漁場,立川漁場
初鹿牧場,初鹿牧場
新光兆豐休閒農場,兆豐農場
池上牧野渡假村,池上牧野渡假村
台東紅葉溫泉親水公園,台東紅葉公園
關山親水公園,關山親水公園
達娜伊谷,達娜伊谷
圓潭自然生態園區,圓潭生態園區
瑞太遊客服務中心,瑞太遊客中心
六龜服務區,六龜服務區
新威苗圃,新威苗圃
台灣原住民文化園區,台灣原民園區
寶來、不老溫泉區,寶來不老溫泉
霧台遊憩區,霧台遊憩區
茂林風景區〈含情人谷、多納溫泉〉,茂林風景區
瑪家遊客中心,瑪家遊客中心
賽嘉遊憩區,賽嘉遊憩區
南竿遊客中心,南竿遊客中心
北竿遊客中心,北竿遊客中心
莒光遊客中心,莒光遊客中心
東引遊客中心,東引遊客中心
獅頭山風景區,獅頭山
八卦山風景區,八卦山
谷關遊憩區,谷關遊憩區
梨山遊憩區,梨山遊憩區
雙春濱海遊憩區,雙春遊憩區
北門遊客中心,北門遊客中心
七股鹽山,七股鹽山
井仔腳瓦盤鹽田,井仔腳鹽田
布袋遊客中心,布袋遊客中心
林投公園,林投公園
漁翁島遊客中心,漁翁島
南海遊客中心,南海遊客中心
小門地質展示中心,小門地質中心
澎湖遊客中心,澎湖遊客中心
北海遊客中心,北海遊客中心
西嶼西台,西嶼西台
吉貝遊客中心,吉貝遊客中心
綠蠵龜觀光保育中心,綠蠵龜保育中心
澎湖水族館,澎湖水族館
向陽國家森林遊樂區,向陽遊樂區
拉拉山自然保護區,拉拉山
藤枝國家森林遊樂區,藤枝遊樂區
阿里山國家森林遊樂區,阿里山遊樂區
溪頭森林遊樂區,溪頭遊樂區
奧萬大國家森林遊樂區,奧萬大遊樂區
太平山國家森林遊樂區,太平山
明池森林遊樂區,明池遊樂區
大雪山國家森林遊樂區,大雪山遊樂區
墾丁國家森林遊樂區,墾丁遊樂區
內洞國家森林遊樂區,內洞遊樂區
滿月圓國家森林遊樂區,滿月圓
惠蓀林場,惠蓀林場
八仙山國家森林遊樂區,八仙山
知本國家森林遊樂區,知本遊樂區
棲蘭森林遊樂區,棲蘭遊樂區
東眼山國家森林遊樂區,東眼山遊樂區
雙流國家森林遊樂區,雙流遊樂區
富源國家森林遊樂區,富源遊樂區
合歡山國家森林遊樂區,合歡山遊樂區
池南國家森林遊樂區,池南遊樂區
大湖,大湖
知本溫泉風景特定區,知本溫泉
清泉溫泉,清泉溫泉
內灣風景區,內灣
七星潭風景區,七星潭
蘭潭,蘭潭
鐵砧山,鐵砧山
關子嶺溫泉區,關子嶺溫泉區
霧社,霧社
五峰旗瀑布,五峰旗瀑布
小烏來風景特定區,小烏來
龍潭湖,龍潭湖
冬山河親水公園,冬山河公園
虎頭埤風景區,虎頭埤風景區
十七公里海岸觀光帶,十七公里海岸
東埔溫泉,東埔溫泉
